169	/	_	_	_	_	_	_	_	@pn1988m-words3#@pn1988m#00:07:07.630#00:07:08.069
170	иии	_	_	_	_	_	_	_	@pn1988m-words3#@pn1988m#00:07:08.069#00:07:08.517
171	а	_	_	_	_	_	_	_	@pn1988m-words4#@pn1988m#00:07:08.499#00:07:08.864
172	еще	_	_	_	_	_	_	_	@pn1988m-words4#@pn1988m#00:07:08.864#00:07:09.229
173	/	_	_	_	_	_	_	_	@pn1988m-words4#@pn1988m#00:07:09.229#00:07:09.594
174	ии	_	_	_	_	_	_	_	@pn1988m-words4#@pn1988m#00:07:09.594#00:07:09.959
175	Юлиан	_	_	_	_	_	_	_	@pn1988m-words4#@pn1988m#00:07:09.959#00:07:10.324
176	Семенов	_	_	_	_	_	_	_	@pn1988m-words4#@pn1988m#00:07:10.324#00:07:10.689
177	взял	_	_	_	_	_	_	_	@pn1988m-words4#@pn1988m#00:07:10.689#00:07:11.054
178	интервью	_	_	_	_	_	_	_	@pn1988m-words4#@pn1988m#00:07:11.054#00:07:11.419
179	у	_	_	_	_	_	_	_	@pn1988m-words4#@pn1988m#00:07:11.419#00:07:11.784
180	Отто	_	_	_	_	_	_	_	@pn1988m-words4#@pn1988m#00:07:11.784#00:07:12.149
181	Скорцени	_	_	_	_	_	_	_	@pn1988m-words4#@pn1988m#00:07:12.149#00:07:12.514
182	/	_	_	_	_	_	_	_	@pn1988m-words4#@pn1988m#00:07:12.514#00:07:12.879
183	Отто	_	_	_	_	_	_	_	@pn1988m-words4#@pn1988m#00:07:12.879#00:07:13.244
184	Скорцени	_	_	_	_	_	_	_	@pn1988m-words4#@pn1988m#00:07:13.244#00:07:13.609
185	это	_	_	_	_	_	_	_	@pn1988m-words4#@pn1988m#00:07:13.609#00:07:13.974
186	известный	_	_	_	_	_	_	_	@pn1988m-words4#@pn1988m#00:07:13.974#00:07:14.339
187	нацистский	_	_	_	_	_	_	_	@pn1988m-words4#@pn1988m#00:07:14.339#00:07:14.704
188	диверсант	_	_	_	_	_	_	_	@pn1988m-words4#@pn1988m#00:07:14.704#00:07:15.069
189	который	_	_	_	_	_	_	_	@pn1988m-words4#@pn1988m#00:07:15.069#00:07:15.434
190	после	_	_	_	_	_	_	_	@pn1988m-words4#@pn1988m#00:07:15.434#00:07:15.799
191	эээ	_	_	_	_	_	_	_	@pn1988m-words4#@pn1988m#00:07:15.799#00:07:16.164
192	поражения	_	_	_	_	_	_	_	@pn1988m-words4#@pn1988m#00:07:16.164#00:07:16.529
193	третьего	_	_	_	_	_	_	_	@pn1988m-words4#@pn1988m#00:07:16.529#00:07:16.894
194	рейха	_	_	_	_	_	_	_	@pn1988m-words4#@pn1988m#00:07:16.894#00:07:17.259
195	/	_	_	_	_	_	_	_	@pn1988m-words4#@pn1988m#00:07:17.259#00:07:17.624
196	как	_	_	_	_	_	_	_	@pn1988m-words4#@pn1988m#00:07:17.624#00:07:17.989
197	и	_	_	_	_	_	_	_	@pn1988m-words4#@pn1988m#00:07:17.989#00:07:18.354
198	многие	_	_	_	_	_	_	_	@pn1988m-words4#@pn1988m#00:07:18.354#00:07:18.719
199	э	_	_	_	_	_	_	_	@pn1988m-words4#@pn1988m#00:07:18.719#00:07:19.084
200	/	_	_	_	_	_	_	_	@pn1988m-words4#@pn1988m#00:07:19.084#00:07:19.449
201	специалисты	_	_	_	_	_	_	_	@pn1988m-words4#@pn1988m#00:07:19.449#00:07:19.814
202	узкого	_	_	_	_	_	_	_	@pn1988m-words4#@pn1988m#00:07:19.814#00:07:20.179
203	профиля	_	_	_	_	_	_	_	@pn1988m-words4#@pn1988m#00:07:20.179#00:07:20.544
204	нацистские	_	_	_	_	_	_	_	@pn1988m-words4#@pn1988m#00:07:20.544#00:07:20.909
205	не	_	_	_	_	_	_	_	@pn1988m-words4#@pn1988m#00:07:20.909#00:07:21.274
206	был	_	_	_	_	_	_	_	@pn1988m-words4#@pn1988m#00:07:21.274#00:07:21.639
207	казнен	_	_	_	_	_	_	_	@pn1988m-words4#@pn1988m#00:07:21.639#00:07:22.004
208	а	_	_	_	_	_	_	_	@pn1988m-words4#@pn1988m#00:07:22.004#00:07:22.369
209	работал	_	_	_	_	_	_	_	@pn1988m-words4#@pn1988m#00:07:22.369#00:07:22.734
210	на	_	_	_	_	_	_	_	@pn1988m-words4#@pn1988m#00:07:22.734#00:07:23.099
211	самую	_	_	_	_	_	_	_	@pn1988m-words4#@pn1988m#00:07:23.099#00:07:23.464
212	неочевидную	_	_	_	_	_	_	_	@pn1988m-words4#@pn1988m#00:07:23.464#00:07:23.829
213	страну	_	_	_	_	_	_	_	@pn1988m-words4#@pn1988m#00:07:23.829#00:07:24.194
214	для	_	_	_	_	_	_	_	@pn1988m-words4#@pn1988m#00:07:24.194#00:07:24.559
215	этого	_	_	_	_	_	_	_	@pn1988m-words4#@pn1988m#00:07:24.559#00:07:24.924
216	времени	_	_	_	_	_	_	_	@pn1988m-words4#@pn1988m#00:07:24.924#00:07:25.289
217	он	_	_	_	_	_	_	_	@pn1988m-words4#@pn1988m#00:07:25.289#00:07:25.654
218	работал	_	_	_	_	_	_	_	@pn1988m-words4#@pn1988m#00:07:25.654#00:07:26.019
219	на	_	_	_	_	_	_	_	@pn1988m-words4#@pn1988m#00:07:26.019#00:07:26.384
220	израиль	_	_	_	_	_	_	_	@pn1988m-words4#@pn1988m#00:07:26.384#00:07:26.749
221	/	_	_	_	_	_	_	_	@pn1988m-words4#@pn1988m#00:07:26.749#00:07:27.114
222	Отто	_	_	_	_	_	_	_	@pn1988m-words4#@pn1988m#00:07:27.114#00:07:27.479
223	Скорцени	_	_	_	_	_	_	_	@pn1988m-words4#@pn1988m#00:07:27.479#00:07:27.844
224	занимался	_	_	_	_	_	_	_	@pn1988m-words4#@pn1988m#00:07:27.844#00:07:28.209
225	тем	_	_	_	_	_	_	_	@pn1988m-words4#@pn1988m#00:07:28.209#00:07:28.574
226	что	_	_	_	_	_	_	_	@pn1988m-words4#@pn1988m#00:07:28.574#00:07:28.939
227	боролся	_	_	_	_	_	_	_	@pn1988m-words4#@pn1988m#00:07:28.939#00:07:29.304
228	с	_	_	_	_	_	_	_	@pn1988m-words4#@pn1988m#00:07:29.304#00:07:29.669
229	ракетной	_	_	_	_	_	_	_	@pn1988m-words4#@pn1988m#00:07:29.669#00:07:30.034
230	программой	_	_	_	_	_	_	_	@pn1988m-words4#@pn1988m#00:07:30.034#00:07:30.399
231	Египта	_	_	_	_	_	_	_	@pn1988m-words4#@pn1988m#00:07:30.399#00:07:30.764
232	/	_	_	_	_	_	_	_	@pn1988m-words4#@pn1988m#00:07:30.764#00:07:31.129
233	вот	_	_	_	_	_	_	_	@pn1988m-words4#@pn1988m#00:07:31.129#00:07:31.494
234	с	_	_	_	_	_	_	_	@pn1988m-words4#@pn1988m#00:07:31.494#00:07:31.859
235	таким	_	_	_	_	_	_	_	@pn1988m-words4#@pn1988m#00:07:31.859#00:07:32.224
236	вот	_	_	_	_	_	_	_	@pn1988m-words4#@pn1988m#00:07:32.224#00:07:32.589
237	человеком	_	_	_	_	_	_	_	@pn1988m-words4#@pn1988m#00:07:32.589#00:07:32.954
238	встречался	_	_	_	_	_	_	_	@pn1988m-words4#@pn1988m#00:07:32.954#00:07:33.319
239	Семенов	_	_	_	_	_	_	_	@pn1988m-words4#@pn1988m#00:07:33.319#00:07:33.684
240	/	_	_	_	_	_	_	_	@pn1988m-words4#@pn1988m#00:07:33.684#00:07:34.049
241	вот	_	_	_	_	_	_	_	@pn1988m-words4#@pn1988m#00:07:34.049#00:07:34.414
242	иии	_	_	_	_	_	_	_	@pn1988m-words4#@pn1988m#00:07:34.414#00:07:34.779
243	приезд	_	_	_	_	_	_	_	@pn1988m-words4#@pn1988m#00:07:34.779#00:07:35.144
244	Лимонова	_	_	_	_	_	_	_	@pn1988m-words4#@pn1988m#00:07:35.144#00:07:35.509
245	первый	_	_	_	_	_	_	_	@pn1988m-words4#@pn1988m#00:07:35.509#00:07:35.874
246	в	_	_	_	_	_	_	_	@pn1988m-words4#@pn1988m#00:07:35.874#00:07:36.239
247	Москву	_	_	_	_	_	_	_	@pn1988m-words4#@pn1988m#00:07:36.239#00:07:36.604
248	был	_	_	_	_	_	_	_	@pn1988m-words4#@pn1988m#00:07:36.604#00:07:36.969
249	довольно	_	_	_	_	_	_	_	@pn1988m-words4#@pn1988m#00:07:36.969#00:07:37.334
250	комичным	_	_	_	_	_	_	_	@pn1988m-words4#@pn1988m#00:07:37.334#00:07:37.699
251	потому	_	_	_	_	_	_	_	@pn1988m-words4#@pn1988m#00:07:37.699#00:07:38.064
252	что	_	_	_	_	_	_	_	@pn1988m-words4#@pn1988m#00:07:38.064#00:07:38.429
253	Лимо...потому	_	_	_	_	_	_	_	@pn1988m-words4#@pn1988m#00:07:38.429#00:07:38.794
254	что	_	_	_	_	_	_	_	@pn1988m-words4#@pn1988m#00:07:38.794#00:07:39.159
255	Лимонов	_	_	_	_	_	_	_	@pn1988m-words4#@pn1988m#00:07:39.159#00:07:39.524
256	участвовал	_	_	_	_	_	_	_	@pn1988m-words4#@pn1988m#00:07:39.524#00:07:39.889
257	в	_	_	_	_	_	_	_	@pn1988m-words4#@pn1988m#00:07:39.889#00:07:40.254
258	одном	_	_	_	_	_	_	_	@pn1988m-words4#@pn1988m#00:07:40.254#00:07:40.619
259	и	_	_	_	_	_	_	_	@pn1988m-words4#@pn1988m#00:07:40.619#00:07:40.984
260	том	_	_	_	_	_	_	_	@pn1988m-words4#@pn1988m#00:07:40.984#00:07:41.349
261	же	_	_	_	_	_	_	_	@pn1988m-words4#@pn1988m#00:07:41.349#00:07:41.714
262	мероприятии	_	_	_	_	_	_	_	@pn1988m-words4#@pn1988m#00:07:41.714#00:07:42.079
263	с	_	_	_	_	_	_	_	@pn1988m-words4#@pn1988m#00:07:42.079#00:07:42.444
264	Вилли	_	_	_	_	_	_	_	@pn1988m-words4#@pn1988m#00:07:42.444#00:07:42.809
265	Токаревым	_	_	_	_	_	_	_	@pn1988m-words4#@pn1988m#00:07:42.809#00:07:43.174
266	/	_	_	_	_	_	_	_	@pn1988m-words4#@pn1988m#00:07:43.174#00:07:43.539
267	кто	_	_	_	_	_	_	_	@pn1988m-words4#@pn1988m#00:07:43.539#00:07:43.904
268	такой	_	_	_	_	_	_	_	@pn1988m-words4#@pn1988m#00:07:43.904#00:07:44.269
